ticker,cik,name
MMM,0000066740,3M CO
AOS,0000091142,SMITH A O CORP
ABT,0000001800,ABBOTT LABORATORIES
ABBV,0001551152,AbbVie Inc.
ACN,0001467373,Accenture plc
ADBE,0000796343,ADOBE INC.
AMD,0000002488,ADVANCED MICRO DEVICES INC
AES,0000874761,AES CORP
AFL,0000004977,AFLAC INC
A,0001090872,"AGILENT TECHNOLOGIES, INC."
APD,0000002969,"Air Products & Chemicals, Inc."
ABNB,0001559720,"Airbnb, Inc."
AKAM,0001086222,AKAMAI TECHNOLOGIES INC
ALB,0000915913,ALBEMARLE CORP
ARE,0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
ALGN,0001097149,ALIGN TECHNOLOGY INC
ALLE,0001579241,Allegion plc
LNT,0000352541,ALLIANT ENERGY CORP
ALL,0000899051,ALLSTATE CORP
GOOGL,0001652044,Alphabet Inc.
GOOG,0001652044,Alphabet Inc.
MO,0000764180,"ALTRIA GROUP, INC."
AMZN,0001018724,AMAZON COM INC
AMCR,0001748790,Amcor plc
AEE,0001002910,AMEREN CORP
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC
AXP,0000004962,AMERICAN EXPRESS CO
AIG,0000005272,"AMERICAN INTERNATIONAL GROUP, INC."
AMT,0001053507,AMERICAN TOWER CORP /MA/
AWK,0001410636,"American Water Works Company, Inc."
AMP,0000820027,AMERIPRISE FINANCIAL INC
AME,0001037868,AMETEK INC/
AMGN,0000318154,AMGEN INC
APH,0000820313,AMPHENOL CORP /DE/
ADI,0000006281,ANALOG DEVICES INC
AON,0000315293,Aon plc
APA,0001841666,APA Corp
APO,0001858681,"Apollo Global Management, Inc."
AAPL,0000320193,Apple Inc.
AMAT,0000006951,APPLIED MATERIALS INC /DE
APTV,0001521332,Aptiv PLC
ACGL,0000947484,ARCH CAPITAL GROUP LTD.
ADM,0000007084,Archer-Daniels-Midland Co
ANET,0001596532,"Arista Networks, Inc."
AJG,0000354190,Arthur J. Gallagher & Co.
AIZ,0001267238,"ASSURANT, INC."
T,0000732717,AT&T INC.
ATO,0000731802,ATMOS ENERGY CORP
ADSK,0000769397,"Autodesk, Inc."
ADP,0000008670,AUTOMATIC DATA PROCESSING INC
AZO,0000866787,AUTOZONE INC
AVB,0000915912,AVALONBAY COMMUNITIES INC
AVY,0000008818,Avery Dennison Corp
AXON,0001069183,"AXON ENTERPRISE, INC."
BKR,0001701605,Baker Hughes Co
BALL,0000009389,BALL Corp
BAC,0000070858,BANK OF AMERICA CORP /DE/
BAX,0000010456,BAXTER INTERNATIONAL INC
BDX,0000010795,BECTON DICKINSON & CO
BRK-B,0001067983,BERKSHIRE HATHAWAY INC
BBY,0000764478,BEST BUY CO INC
TECH,0000842023,BIO-TECHNE Corp
BIIB,0000875045,BIOGEN INC.
BLK,0002012383,"BlackRock, Inc."
BX,0001393818,Blackstone Inc.
XYZ,0001512673,"Block, Inc."
BK,0001390777,Bank of New York Mellon Corp
BA,0000012927,BOEING CO
BKNG,0001075531,Booking Holdings Inc.
BSX,0000885725,BOSTON SCIENTIFIC CORP
BMY,0000014272,BRISTOL MYERS SQUIBB CO
AVGO,0001730168,Broadcom Inc.
BR,0001383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC."
BRO,0000079282,"BROWN & BROWN, INC."
BF-B,0000014693,BROWN FORMAN CORP
BLDR,0001316835,"Builders FirstSource, Inc."
BG,0001996862,Bunge Global SA
BXP,0001037540,"BXP, Inc."
CHRW,0001043277,"C. H. ROBINSON WORLDWIDE, INC."
CDNS,0000813672,CADENCE DESIGN SYSTEMS INC
CZR,0001590895,"Caesars Entertainment, Inc."
CPT,0000906345,CAMDEN PROPERTY TRUST
CPB,0000016732,CAMPBELL'S Co
COF,0000927628,CAPITAL ONE FINANCIAL CORP
CAH,0000721371,CARDINAL HEALTH INC
KMX,0001170010,CARMAX INC
CCL,0000815097,CARNIVAL CORP
CARR,0001783180,CARRIER GLOBAL Corp
CAT,0000018230,CATERPILLAR INC
CBOE,0001374310,"Cboe Global Markets, Inc."
CBRE,0001138118,"CBRE GROUP, INC."
CDW,0001402057,CDW Corp
COR,0001140859,"Cencora, Inc."
CNC,0001071739,CENTENE CORP
CNP,0001130310,CENTERPOINT ENERGY INC
CF,0001324404,"CF Industries Holdings, Inc."
CRL,0001100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC."
SCHW,0000316709,SCHWAB CHARLES CORP
CHTR,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/"
CVX,0000093410,CHEVRON CORP
CMG,0001058090,CHIPOTLE MEXICAN GRILL INC
CB,0000896159,Chubb Ltd
CHD,0000313927,CHURCH & DWIGHT CO INC /DE/
CI,0001739940,Cigna Group
CINF,0000020286,CINCINNATI FINANCIAL CORP
CTAS,0000723254,CINTAS CORP
CSCO,0000858877,"CISCO SYSTEMS, INC."
C,0000831001,CITIGROUP INC
CFG,0000759944,CITIZENS FINANCIAL GROUP INC/RI
CLX,0000021076,CLOROX CO /DE/
CME,0001156375,CME GROUP INC.
CMS,0000811156,CMS ENERGY CORP
KO,0000021344,COCA COLA CO
CTSH,0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP
COIN,0001679788,"Coinbase Global, Inc."
CL,0000021665,COLGATE PALMOLIVE CO
CMCSA,0001166691,COMCAST CORP
CAG,0000023217,CONAGRA BRANDS INC.
COP,0001163165,CONOCOPHILLIPS
ED,0001047862,CONSOLIDATED EDISON INC
STZ,0000016918,"CONSTELLATION BRANDS, INC."
CEG,0001868275,Constellation Energy Corp
COO,0000711404,"COOPER COMPANIES, INC."
CPRT,0000900075,COPART INC
GLW,0000024741,CORNING INC /NY
CPAY,0001175454,"CORPAY, INC."
CTVA,0001755672,"Corteva, Inc."
CSGP,0001057352,"COSTAR GROUP, INC."
COST,0000909832,COSTCO WHOLESALE CORP /NEW
CTRA,0000858470,Coterra Energy Inc.
CRWD,0001535527,"CrowdStrike Holdings, Inc."
CCI,0001051470,CROWN CASTLE INC.
CSX,0000277948,CSX CORP
CMI,0000026172,CUMMINS INC
CVS,0000064803,CVS HEALTH Corp
DHR,0000313616,DANAHER CORP /DE/
DRI,0000940944,DARDEN RESTAURANTS INC
DDOG,0001561550,"Datadog, Inc."
DVA,0000927066,DAVITA INC.
DAY,0001725057,"Dayforce, Inc."
DECK,0000910521,DECKERS OUTDOOR CORP
DE,0000315189,DEERE & CO
DELL,0001571996,Dell Technologies Inc.
DAL,0000027904,"DELTA AIR LINES, INC."
DVN,0001090012,DEVON ENERGY CORP/DE
DXCM,0001093557,DEXCOM INC
FANG,0001539838,"Diamondback Energy, Inc."
